"row","category","type2","scene","image_count","image_links"
3,"静物产品图","静物产品图-真实感素人图","居家",5,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/H2TXbpkqaobFX4xU1wNcFOdknhc/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/FdxRb7qXBoC6knxMgJrcGaPdngb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/QZNdbt4LLoVYXRxArCvcgl81nUd/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/HfAtbDQs7ok4z2xkJYIcsxohn3d/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/NacSbW4dJoSeOxx8SWGcM3lznOb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
4,"静物产品图","静物产品图-精致感INS图","居家",4,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/P7NCbsAKso15JGxvbTtc52HDn2e/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/ULPgbFG8OoEQvwxuZCwcMZhknqb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/XJFKbKNa5o5vJPx3aPEcBr6InOg/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/B5GHbW0rFoJRqExQ07AcViTEnup/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
5,"静物产品图","静物产品图-随手拍","居家",4,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/XVtzb4yPCo6tPJxJdbrc05vXneg/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/Z5FhbfjlOozznsx1pOgcYB7Wnfh/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/YXJKbnuCWonKmexkLeLcyb2Mnif/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/XOfrbiVOMocS3sxqVsxcVzETnff/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
6,"静物产品图","静物产品图-基础卖点组合图","居家",7,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/TtwMbvZLboRL8rxnU8VcV3j8nte/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/Oegibwzvno8UqIxCfp5ctGuWnFL/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/TIAybnnwhoNbXpxuB0VcNMQHnFd/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/NITubpyVyoyQc5xVwytcSAUYnCb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/MmSAbGULaooQIxxeljHcCoRYnRe/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/EppFb88VGoRW5Rx5iqecb3W3nPd/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/K9d7bvs2RozFPFxLj57ccMH6nre/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
7,"静物产品图","静物产品图-产品CP","居家",5,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/PIgMbelcZo32HuxPQqMcp7WSnWc/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/LUbZbxqDlo3fkcxLJ4QciS46nZc/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/GP4gbiUMmoDGMjxWpkacYWz2nKe/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/GtTSbYy7po0LDSx0jcucecKun4g/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/GCq2b2Udgotx5pxVuPHcCicRnCb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
8,"静物产品图","多静物产品图-真实感素人图","线下商超",5,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/I7clboReCorLWOxKZtfcCUP8nXd/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/AYhpbSbKzoGUyGxLXJ6cLDHGnvd/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/I53qbDxnVoo7WLxGetvcfNH6nEG/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/Tb8AbxbFyozBa9xFVBecKDK8nnb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/WGTnb8maWo6mhLx60eIc6vvlnAb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
9,"静物产品图","多静物产品组合图-多品并列图","居家",3,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/OVH7bdVaGolLLoxFTmbcOTuUnqg/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/CJEab4VQDo1HxUxWr3hchCvKnhe/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/BiM9biYV5oxEOlxitFOct1THnnb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
10,"静物产品图","多静物产品组合图-多品平铺图","居家",3,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/WgOxbiAyyoW3g5x0YV2c2hyPnac/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/IKlubbZSfoBKRbxpisvcj2AhnBg/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/OMG3bXzc8oU8JqxJCxEcZBJOnSb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
11,"手持产品图","手持产品图-真实感素人图","居家",10,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/O6DXb7l20oGKvdxGXKKcy5EpnUd/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/PCNAbUETQoLoJkxKGTPcO6ObnZf/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/Cln7bHN91oCFrCxoDYZcsDvzn6d/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/KIEpbeH2Ootd1kxxsELcUigDnXe/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/ENVVbCJ4moy6cXxfXBCc9BKPn7d/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/PnKsbSp6Qo15HaxFe7ociXtAnud/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/DDstbSoHOoBXopx7s5PcLTsvnYc/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/IjHYbHp4roGHW6xINczc3pKenxh/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/Uwk5bjaQDo4EhSxFkvncfm2DnWf/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/ASOEb8YwGoV8jWxYIpEcnwG8nHf/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
12,"手持产品图","手持产品图-精致感INS图","居家",7,"https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/RotLbj0Ppoyt0WxznDfckXApnBb/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/FRivbQAMwocRxQxROp1cgDrAnph/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/GYvHbpB9QoL44bx3eIeca69Hnub/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/Ec0obyTdzogC6Sx9RFBcwCRAnAm/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/GXpHb2mD1obNSSxPWuScv8Ccnmh/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/IzQHbyMrwo4QQvxon4NcfTTrnFc/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280;https://internal-api-drive-stream.feishu.cn/space/api/box/stream/download/v2/cover/FKPQbsxkio4ZFYxGHORcY0h1ncf/?height=1280&mount_node_token=OTUosGERbhyYF8tly7WcGKI8neQ&mount_point=sheet_image&policy=equal&width=1280"
